,Topic,Count,Name,Representation,Representative_Docs
26,25,6,25_bean_recipe_salad_delicious,"['bean', 'recipe', 'salad', 'delicious', 'cookbook', 'chickpea', 'pepper', 'cook', 'appetize', 'violet']","[""i actually have not made one yet, but i really need to. i can't remember the name of the creator who i think started the trend, but i just looked it up. i violet, which i just looked it up. they look amazing. i don't know. it's, i don't know. it's great. it looks really . i actually just pulled up a link. , wow, the today show has talked about the dense bean salad, but it looks violet, which all that you mentioned started it."", ""you took this gross kind of , not sexy. . very unsexy. kind of love to hate dish and you made it so pretty, so appetizing and so delicious. so anyway, i don't think so. . thank you. i'm all linked to that recipe in the show. let's do so people can see just how beautiful it is. k beans. beans. beans had a moment last year. we actually, we predicted that beans would continue to have a moment. i noticed so many"", "", they were not merely as , front and center as the beans. i don't know if you saw this, but on tiktok, i think is where it originated. there's a dense bean salad. i did not see the dense bean salad. tell me about it. there's so fun. the whole idea is that it's just a nutrient dense salad with beans as the base that you can stick in the fridge and it gets better as it sits and you can just eat it throughout the week. they look so . and""]"
27,26,6,26_podcast_great_listener_,"['podcast', 'great', 'listener', '', '', '', '', '', '', '']","[""wow. that's, that's great, though. i'm excited about that. i have a, well, i'm going to save it again. it's for our, at the end of every podcast, by the way, we do something for our"", ""any of you, from either of you, i think we can talk about this, what we think is going to happen and what has happened for quite a bit longer, but is there anything else that you want to make sure that listeners really know about or really think about? i think i'm still really excited about the possibilities for rural rebellion. i think that, especially at a time when we're seeing less product innovation releases, really gives an opportunity to think about what can we make new,"", ""how it goes. perfect. well, now that we've kind of recapped over all of the things that we partook in and noticed over 2024, 2024, excuse me, shall we dive into 2025? , let's do it. okay, let's do it. i do want to start off by just kind of saying that two of our predictions from last year, i think are going to continue. and i'd love to know your thought on this. so the first one is just more dinner parties. i know we talked about 2024 was the year of the dinner""]"
28,27,6,27_japan_tokyo_japanese_asia,"['japan', 'tokyo', 'japanese', 'asia', 'korean', 'combini', 'rice', 'salad', 'sandwich', 'country']","[""going to look very japanese and a little bit korean. . i went into a 7-eleven tokyo years ago and, you know, i think tony burden raved about their egg salad sandwiches and the range of stuff they have. some of it's quite ."", ""that's a hot trend for 2025, the combini. that is the 24 hour japanese convenience store. mm. mm. if we had 7-elevens here, they are in japan, it would be amazing."", ""so convenience foods from asia. i mean, if you go into a 7-eleven, in japan and tokyo, the convenience stuff is just amazing. so is it a particular style that's coming or a particular country or culture? well, you know, 7-eleven culture in, particularly in japan is a big thing.""]"
29,28,6,28_croissant_christmas_favorite_sandwich,"['croissant', 'christmas', 'favorite', 'sandwich', 'appetizer', 'recipe', 'bread', 'bacon', 'february', 'january']","[""going to see some fun trends, celebrity inspired recipes, creator inspired recipes. so i thought it was interesting to katie. i don't know if you noticed this, but there were some very hyper specific things that i saw trending this year the dubai chocolate. did you see the dubai chocolate online? , i tried the dubai chocolate. i tried it. i did. how did you get it? how did you, i can't find it. well, mitch and i went to new york last month and our friend lives"", ""vintage dish series. and i think it was january, february. we shared so many fun kind of old revamped recipes, but you know, it's so interesting. i was talking to my mom the other day telling her , , i made, and this is a recipe. this was you did the bacon rap dates, right? that was your recipe. . . so i was i made those over i wanted to make them over christmas didn't happen. wanted to make them over years didn't happen. so i made it the first"", ""week of january, because i was , i'm having i'm having these bacon rap dates. and i just made it for just cody and i, but anyway, they're so . we ate, we polished off the plotter. easily. it was so . but i was telling my mom , these bacon rap dates were so . and we put goat cheese in them and she looked at me and she's , that is such a vintage appetizer. which i didn't, i didn't, maybe you realize that? i didn't. and so i do think""]"
30,29,6,29_tofu_soy_bean_flavor,"['tofu', 'soy', 'bean', 'flavor', 'taco', 'biodiesel', 'taste', 'burrito', 'milk', 'spice']","[""you can buy tofu in 25 different varieties, right? you can buy it silky, thick, firm, you can buy fried, you can buy it with green onions and soy sauce. . well, a lot of tofu is- it's still in its white form and it's confusing. so a lot of people don't know what to do with it. right. and i think- so what we do at plum is we spice ours up. it's all spice stuff and ready to go. okay. so we have smoked tofu, we have a ginger tofu. so when it's flavored, then you get past the"", ""the ocaro, which is the husk of the bean. you can recycle it into biodiesel fuel. wow. i read somewhere that you, with your tofu, you make sauces out of the byproduct. is that correct? so from the soy milk, , i make a lot of dips and sauces from the soy milk. so it comes, you know, from the bean and then you grind it up and you take the husk off and then you have a milk and then the milk, you can do, it's soy milk. you can do anything with soy milk and you can turn"", ""compressed, right? but it's the bean. it's the bean that that's the little part. whereas the tofu you take the bean and you grind it in the milk. and then you turn it, you coagulated and then you turn it in the tofu. but with tempe you just take the bean and you soak it and you ferment it and then you pack it and then you can flavor it. so it's more, it's better for you to get, i would say, what you're meant to do. if you're making your own tofu, what do you do with the soy byproduct?""]"
31,30,6,30_sustainability_trend_grocery_consumer,"['sustainability', 'trend', 'grocery', 'consumer', 'supermarket', 'produce', 'economic', 'rebrande', 'industry', 'luxury']","[""especially from where we were when we were developing this, i thought this was going to be farther off. it's really hitting a pivot point right now that this is not something that consumers can shy away from. it's going to be something that there's going to be a lot more categories, a lot more foods that we probably absolutely love and rely on that we're going to have to learn to adapt to or pay more for or only buy in season. there's a lot of maybe trade-offs we're going"", ""on the national restaurant association's what hot survey they also had sustainability as the number one trend which was it was interesting to me now we're doing a lot of sustainability coverage here we'll have a lot more coming out in the coming months so of course sustainability never not important but i had thought that maybe had lost a little bit of its buzziness in the last couple of years is the industry turns its attention to convenience"", ""we called them now, we're back to the savvy sustenance around the whole, the other consumer, around the economic down, so looking to value and simplicity and how that is reflected to some extent now in the fundamentally nutritious trend. so it's not it's a new trend, none of these are rebranded new, are they? they're all a continuation of something that's gone before it. so it's just a question of what comes to the fore first. well, any final comments from""]"
32,31,6,31_recipe_vegan_meatless_foodie,"['recipe', 'vegan', 'meatless', 'foodie', 'kitchen', 'vegetable', 'lasagna', 'book', 'lunch', 'ravioli']","[""about the act of making risotto most risotto recipes will require you to sit and add you know the one we have on female foodie is i believe it's three quarters cup of stock you know every time you replenish and you stir and stir we've got a parmigiana rigeno and a mela nasa a saffron type version but i think to sometimes it's nice to force yourself to just do something a little slower or more intentional and two i mean not all the cozy cooking is so hands-on"", ""if you want or to live a couple of days a week if you want. so i think that readers will find it as an assist in the kitchen. . so i think that's more the end game for me. . i love vegetables. i always have you know, every dinner that i've ever made has a vegetable component to it. but i wouldn't mind trying to be more diligent about a meatless monday or a vegan something you know sitting down making a vegan supper. it just doesn't generally occur to me."", ""normal diet. . this book is geared towards the meatless monday person. it's very understandable in that way. it's cultural american food. so the recipes you find they won't send you in 15 different directions for ingredients you've never heard of. there's lasagna's in there. there's blts which i make with tofu so it's a tlt. there's a cauliflower in there. there's quinoa bowls in there. there's green juices in there. you know, so it helps you to live a plant-based life every day""]"
33,32,5,32_grandma_grandmas_grandmother_taste,"['grandma', 'grandmas', 'grandmother', 'taste', 'aroma', 'quesadilla', 'smell', 'flavor', 'delicious', 'uncomfortable']","[""you know, eat them. they're just more for the aroma, kind of , you know, so it's a quesadilla with a, a, a roma of mothballs. that's my view of your grandmother giving you a nice warm hug. , . you know, you know, who always says that what flavors remind people of grandmas to me that they complain is rose water or orange blossom water. , . and it smells popery people some people who hate the rose water."", ""i get the black one. , smells my grandma's house. they're tastes my grandma's house. why do you taste in your grandma's house? that's weird. well, i don't know. i guess, well, you can taste smells, i guess. i don't know. i don't know. i don't know. i don't know. i, of course, of course. well, listen, so we're going to look for foods on menus that make you feel some kind of way."", ""hit me. i think we should promote, you know, i think about love, caring, warm hug. what makes you feel that sort of stuff? it's all great things to feel, don't you think? , warm caring, big hugs. i love all these things. okay, how about grandma's? grandma's are the thing. people love their grandma's, right?""]"
34,33,5,33_flavor_taste_crunchiness_candy,"['flavor', 'taste', 'crunchiness', 'candy', 'crunchy', 'chocolate', 'delicious', 'ingredient', 'gummy', 'pistachio']","[""so it is light and airy and crunchy and it tastes exactly the gummy candy that it's entertaining, which again, just takes everything in turns that i was having because it's an unexpected texture, but it's a flavor that you know. so another little bit of rural rebellion there. ."", ""crunchy? do we even know what is in the middle of that bar? , it's okay. let me look at how to pronounce it, but it's kunefa. it is a middle, shredded phylodo. so it's, i mean, it is crunchy. it's not an ingredient we're used to. and you liked it. you thought it was worth the hype? i thought it was really . , it was fun. it was very rich, but really . i just feel we're seeing people not only buying it and eating it, but making it, which i thought, i'm not"", ""there and for my birthday, she brought me a dubai chocolate bar. she bought it for me. it was so kind. it was a really breakfast. i was , inspecting it to be as delicious as it was. i mean, i haven't had the dubai chocolate bar, but from what i understand, you've got this pistachio. i mean, the allure is the crunchiness, right? that's kind of what i think has gotten people's attention. so it's chocolate on top, chocolate on bottom. the middle is pistachio. and what is making it""]"
35,34,5,34_agave_tequila_flavor_syrup,"['agave', 'tequila', 'flavor', 'syrup', 'taste', 'herbaceous', 'floral', 'desert', 'similar', 'grassy']","[""it's maybe a little bit of a quiet taste. some people say it's kind of a little heavy on rose for them. but it's a floral syrup. it's pakistani. although there are also versions from india and some other parts of southeast asia."", ""this is kind of a floral syrup from pakistan. people talk about it as a soul regenerator and it's a thirst quencher. it's put into drinks into the hot summer months. somebody said it was the maggie of drinks. so people go crazy for it."", ""from agave it's made from a as as tequila and miscal it's made from different desert plant succulent called the desert spoon hmm is a similar flavor profile or totally different from tequila and miss pretty pretty different. it's sort of more""]"
36,35,5,35_cookbook_chef_book_meal,"['cookbook', 'chef', 'book', 'meal', 'pantry', 'kitchen', 'bean', 'mckinney', 'breakfast', 'julia']","['guess has been mckeenie howell. her new book called simple goodness. no fuss plant-based meal straight from your pantry. where can people find you? everywhere. elliott bay book company the book larder. you can order it online. it was released december 3rd. so it is available now. -huh. congratulations. and you are officially a chef to the stars. you were a stevie wonder chef for a year.', ""we are back here in the kitchen. everyone's eating their breakfast. it's the hot stone society show from the hotel andra in downtown seattle and our cooking school, which is up on the second floor towards the back. and mckinney hall is joining us. her new book, simple goodness, no fuss, plant-based meals straight from your pantry. mckinney, let's just say, you're connected considering that the forward is by stevie wonder and the endorsement is by"", ""mckinney's going to stay with us and we're going to talk a little bit more about her new book, simple goodness. no fuss, plant-based meals straight from your pantry. on kyro radio, it's the hot stone society show, 97 free event. say, couldn't mean the world's disaster. could change your joy and laughter to tears and pain. it's that dawn and need of love today.""]"
37,36,5,36_supplement_sedative_serenity_sleep,"['supplement', 'sedative', 'serenity', 'sleep', 'curednutrition', 'subscription', 'product', 'benedral', 'serendid', 'asleep']","[""you go to curednutrition.com and you get the serenity gummies subscription plan. and the reason why that's amazing is because you should be getting the subscription i get it if you want to try it for a one off thing, but i have it on auto renewed because we are always going to be taking that product. and there's nothing that's going to change that unless something crazy happens. but for now, that is my go to and mail every single night, wind down routine. we take our gummies"", ""nice guy that. and then i'm crap. now we we're not going to wait and be out of it. we will always have it in stock in our house, no matter what because it's that . so if you go to curednutrition.com slash pop fam, it's c-u-r-e-d curednutrition.com slash p-o-p-f-a-m. you can get the serendid gummies with our code pop fam. and if you do the subscription, it's a total of 36 off plus they have amazing products across the board. you can get some of"", ""to get you back to feeling yourself. by the way, i just realized that with cured serenity gummies, my favorite product on the planet still the still the goat still number one my one of one serenity gummies can't miss product that i recommend for everybody. i realize that you can actually use our discount code code pop fam pop fam. you can use our code. and if you do subscription to the serenity gummies, you get 36 off. 36 off if you use our code pop fam.""]"
38,37,5,37_sauce_salad_barbecue_steak,"['sauce', 'salad', 'barbecue', 'steak', 'dinner', 'ranch', 'cook', 'caviar', 'taco', 'flavor']","[""just listen, you don't have to have the 36 ounce tea-bone steak. just feel small, you know, and have some vegetables with it and some greens. and, you know, i don't know. i think getting back to you just having a salad is also becoming an actual dinner now too. not to just to kind of tag what you're saying there, you know, having a salad. but putting really chicken to put it on there. just because i grill chicken in my house, i'll have tons of it upstairs. and i'll just snack on a piece of grilled chicken now. listen, i taco salads are one of my favorite dinners. i make them all the time. i just love a big pile of all the different vegetables on lettuce."", ""of the same dish that you make all the time just by switching out your sauce. and mckinnon, you probably just got to plan a lot, right? , sauces can save your life. . how does that save your life or save your cooking? well, you were saying, it changes what you're making. if people are a little bit concerned about eating plants, if you sauce them up really nicely, that makes it a little bit more familiar."", ""that's always looking for a shortcut. a sauce is one of the easiest shortcuts that you can take to completely change- a simmering sauce? what are you saying? a simmering sauce, but even, you know, you make your steak and then you use a korean barbecue sauce one night or you- a remesco. a remesco. a remesco or a chimichurri or things that. you can completely change the flavor profile""]"
39,38,5,38_metabolism_metabolic_supplement_nutritionist,"['metabolism', 'metabolic', 'supplement', 'nutritionist', 'dieting', 'probiotic', 'health', 'hormone', 'healthier', 'alcohol']","[""in a system. feller stated. all right, so i'm going to go with part real part hype. okay, and here's why i'm divided on this one because it is absolutely 1000 accurate that you need a plan and you need a process you need whatever you want to call it. you need something that is completely tailored and personalized to yourself. you are a one of one. you will not find the answers to your problems in anybody else's solution. it is your body, your metabolism, your hormones, your lifestyle, your"", ""that it's great if you're tracking something hrv, i think it's great to have a better understanding of your own response to certain foods, but just tread cautiously, that's all i'm saying, do your due diligence and don't just believe the hype because there's this, you know, groundbreaking new technology that tells you you're exact, you know, metabolic, whatever makeup. so just be careful with that. all right, food trend number seven, intermittent fasting. intermittent fasting"", ""impacting your hormone health and your metabolic health and bone dense, all that stuff is valid, but it's regardless. these are things that we see in dieting across the board, , programs optovia where people are eating 800 to 1000 calories per day, they're suffering the consequences of poor metabolic outcomes. so should we say, , well, you got a supplement, , you got a supplement optovia with, with, you know, these""]"
40,39,4,39_nutrition_food_trend_diet,"['nutrition', 'food', 'trend', 'diet', '2025', '2024', 'veggie', 'eat', 'consume', 'protein']","[""that it is always something that should be top of mind and something that i would love to see, you know, better access to quality nutrition at a lower price point across the board. so, i guess we'll say, , this is a real one that is not just love and hype, although i would say, i don't know why it's specifically trending towards 2025. i think that it's something that's always top of mind for a lot of people. all right, food trend number four. this one's, this one's funny."", ""all right. so we're going to go through this one by one. there's eight different food and nutrition trends for 2025. and i'm going to give you my take. food trend number one. high fiber diets. and i'm just going to read a little bit of the notes that they have in the article. food trend number one high fiber diets. are you getting enough fiber if not you're certainly not alone. in fact, only about 5 of americans consume the recommended daily fiber intake, but that"", ""and veggies and things that. i don't think it's something that you necessarily need to worry about here. food trend number three, affordable nutrition. with grocery prices expected to rise in 2025, there's a growing focus on eating well without breaking the bank. the 2024 ific survey found that after taste, price was the second most important factor for 76 of consumers when buying food and drinks. why it will trend?""]"
41,40,4,40_brewery_beer_beverage_brooklyn,"['brewery', 'beer', 'beverage', 'brooklyn', 'bourbon', 'cocktail', 'influx', 'connecticut', 'hop', 'bubbly']","["", a little bigger than a softball or something, but it's a duck pin bowling ball. how scared can we get a a jart target, you know, have you ever played the ball? it's kind of the size of a crib. i don't know, man. i'm just saying things out. we got about three minutes left here in this program. i'll tell you one of the things i think is going to start to fade out more. we're not already has started, but i think, you know, especially here in connecticut, we went through a brewery thing where everybody had a brewery and they're all over the place. i think you're going to start to see"", ""the packs start to separate a little bit and those breweries aren't that amazing are going to go away because they're just not getting as popular anymore because people are being more concerned about what they're drinking and stuff. you'll find a lot of these great breweries now are also making celsers and doing other things as well. but i think you'll also find that a lot of great spirits are being made here in the state now as well to kind of supplement that. so check them out. i mean, there's some great stuff all around that you can go fine that's made in connecticut and stuff and you'll see that i think some of the breweries are going to go away, jeffy. i love that though. so we're saying. i don't love the breweries going away. i don't love. i don't know. they don't pivot. i what you said that what you said was the ones that aren't so great are going to kind of go away. and i think that's sort of important to point out is that if you're a really great brand. this happens with a lot of things when there's a huge influx of of a two roses and going. exactly. there's a lot of brands"", ""that aren't going to go anywhere. i don't think lucky here my brother and sister's brewery company that they're involved in this is not going anywhere. i think it's great beer. i think there's a lot of places that make great beer. but i think there's some places that are mediocre or hit or miss 100 and i think those places. unfortunately, it's just not going to sustain people. there's not enough beer drinkers anymore. no, there's just not and i listen. i love beer and i'm not really drinking a lot of beer anymore. and i think i got crazy. people started to put too much all this hops and stuff in their beer. it's just it's just out of control for me. i don't super hop. , why i love i love a happy beer, but i think i think overly hop beers and i think. how happy can we get it? you know, you see right just 17 times and then they name each hop that they used and you're . then you drink you drink three sips of it. only once a middle you're still thirsty. it's just those things are , absolutely. i also think as we get you know, wine this show down a little bit. you're going to see people with more and more beverage knowledge. i really think that's the case because you're seeing it now on instagram and stuff that now more often. but people who are going to understand you said a tea cocktail clarifying bourbon, you know adding , you know things that. you can see a lot more that wine knowledge. bubbly knowledge. you're going to see more and more of that i think as the progress is because people that sort of stuff and i said and you just said you know beer drinkers going down. , absolutely.""]"
42,41,4,41_sustainability_agriculture_consumer_industry,"['sustainability', 'agriculture', 'consumer', 'industry', 'food', 'affordability', 'environment', 'supply', 'reaction', 'ingredient']","[""accessibility affordability how is sustainability playing a role brett in menus today? i mean, i think it's part of the conversation, but not it was pre-covid i mean everybody was into getting rid of single use plastics and etc and then everything was locked down and sanitized and everything was wrapped in plastic again"", 'seeing a lot more conversations about where food is coming from and understanding more of that supply chain and shoring up the supply chain. so chain reaction looks at how disruptions to the food supply are becoming more frequent. so the need for the industry to encourage consumers to accept and to trust new', ""food and drink companies can demonstrate how technology and agriculture will work together to benefit consumers, farmers, and the environment. and much we just talked about with chain reaction, there is a consumer perception, we have to overcome, and a lot of this is related to the fact that we want nature and technology to be separated. and we get worried when those two lines meet, but much our regular lives where we've recognized the conveniences and efficiencies that""]"
43,42,4,42_cook_pasta_recipe_stir,"['cook', 'pasta', 'recipe', 'stir', 'flavor', 'kitchen', 'delicious', 'artichoke', 'ingredient', 'food']","[""a lot of stir fries a lot of noodle bowls i think udon is probably gonna have a little bit of a moment we've kind of seen i think over the last few years japanese cooking kind of come to the forefront or at the very least japanese flavors i think we talked last year about me so you know kind of infiltrating cooking and i'm really glad for it i love me so i think it's so delicious but i feel we're gonna see a lot more of that i think some of it kind of goes back to that"", ""i think especially in restaurants i've seen not a lot lately i feel but i also think we'll have more crossovers i'm trying to figure out how to describe it but an example would be a french onion pasta or a spinach artichoke pasta or you know we're kind of just it's a mash up across over of two different foods. why can i not think of pot and drink? no it's it's i get what you're saying and i'm i totally agree you're taking two different"", ""worlds and combining them. berya rahman is one that comes to mind right just your cut and i i feel i just keep seeing more and more of that too the more i'm eating out the more i'm looking at recipes and it's so interesting that you mentioned french onion pasta too because tyler she developed a really great french onion pasta recipe so i'll link to that as well in the show notes but i'm here for it there's there's a restaurant here in portland i've been""]"
44,43,4,43_pastry_croissant_bakery_dough,"['pastry', 'croissant', 'bakery', 'dough', 'dessert', 'biscuit', 'breakfast', 'cake', 'baker', 'cookie']","[""went to this bakery in new york a few weeks ago called le bray bakery and i've kind of seen it floating around on social media and so i was really excited to go try it it was so delicious breakfast it was it was so so and they had a lot of these classic french pastries you know croissants or that's the first one that immediately comes to my mind and they're you know thing that they do but they put a very distinctly middle eastern flare into all of their"", ""piece of cake. but i think we're going to start seeing this pop up on menus. i think people are going to start realizing , hey, how fun is it to make a dessert dumpling that we can put out there that looks this or whatever, you know, just or different fun fillings or comfort foods maybe in a dumpling. you know, stuff that. i think it's i think it's great. i love it. i love it. i love the. well, do you remember a couple of years ago, it was the same kind of idea that people were doing it as a food trend. i think in 21 or something, maybe even a little further back than that. but it was a. what can we put inside an egg roll? remember everybody had the g stake egg rolls they had buffalo chicken egg rolls. so this is where it gets tricky in their article. they're saying that it's it's not exactly doesn't have to be a dumpling."", ""whole spread of biscuits, a drop biscuit, one of the, , raised gosh, no, i can't remember brick. what do you call them? the you cut them out. , your proper name for that. , the biscuits. i mean, i know what you're talking about though, just to cut, using either a biscuit cutter or cutting squares. . totally. , that, you know, i agree with you and it's interesting, one of the most popular restaurants in the portland area is called""]"
45,44,4,44_cook_cookbook_prediction_exciting,"['cook', 'cookbook', 'prediction', 'exciting', 'recipe', 'april', 'forecast', 'food', 'dish', 'menu']","[""this past year in the show, and it's so . and the way that the hulumi crisps up but becomes melty on the inside is magical. it's the time for, i could pop the one in my mouth right so so so yummy. , okay, i another prediction i have for this next year is i think we're going to see french food have a moment. i love that. it's going to be more. i just think, i don't know, i feel i'm seeing beginnings of trends in menus where i'm eating in restaurants."", ""i've had, i haven't spent, i mean, we lived in texas for a year, which i know some people would say is not the south and some people would, but the true deep south, i've had a couple of chances over the years to go there and , the food scene there is just unparalleled. it's so . well, i love that and i hope that prediction comes to fruition this year because i just don't think you can have too much southern cooking. one of my predictions for this year was more olive oil."", 'what do you feel you saw this past year that we kind of forecasted a little bit? , okay. so i thought it was really fun how vintage recipe recipes played out. we saw, i feel a lot of castorals, a surprising number of castorals. i saw hot dishes in various places, which was kind of fun. so that was kind of a cool one. definitely. i agree with the cat. , vintage dishes. we actually, in partnership did a fun']"
46,45,4,45_box_packaging_takeout_food,"['box', 'packaging', 'takeout', 'food', 'pizza', 'chicken', 'aesthetic', 'festive', 'caviar', 'hut']","[""well, you know, i suppose it's one of those things where you have to have a takeout box if you're ordering takeout. and might as well make it look cute. . have it be aesthetic?"", '. or something that was popular at pizza hut, the three course festive box over the holidays. a triple treat box. , because you want to delight the ice. .', 'okay. because these food trend forecasters are saying the packaging is part of the food experience that gets overlooked. and now things are really hot. at the us open this year, you could get a 100 chicken and caviar box, which was chicken']"
47,46,4,46_ketchup_flavor_pepper_salsa,"['ketchup', 'flavor', 'pepper', 'salsa', 'sauce', 'pickle', 'culinary', 'burger', 'mayo', 'charcuterie']","[""so. cool flavored sauces. there's mayo ketchup. we've got salsa, sissy, hoisin, harissa. all of these things are hot and they're going to get even more flavor centric."", ""i'm calling this the year of the sauce. so sauces are really big. some of them are sort of more low brow, pickle flavored ranch dressing. but increasingly, you're seeing a lot of sauces that are maybe a little bit more up the culinary scale, you know, ahi verde or even places that are putting whiskey and ketchup."", ""but when you cook it over the flame, i agree with plum. it's it's you're you're going to , even the pepper crossing though does burn it a little bit. that's that's the idea. you want it. it's supposed to be better. it's that's the flavor you're going for. right. right. it's not a bad thing. it's just. . so finish with black pepper. it's about particularly on the grill unless you're doing op-wav which means covered in black pepper and burned. , which is why we don't pepper our burgers until the end. that's right. we saw them. salt them aggressively pepper move for your serve. that's right. and you put a lot of salt because if you don't, most of it falls off on the grill anyway. yep. i don't agree with overgritten deep. and this is all summertime grilling talk. we're not going to get into that yet because i was going to be deep into mixing and don't do any match. no, back it up. back it up. , we're not talking about that. we're talking about food trends for 2025. i think you're right, jeffie. how about forbes. those forbes got for us. all right. so the last one from forbes is and this one i love. it says year of the melon vibrant food. this will be in style this year's produce mvp will be a bit unexpected. it's going to be melons and not just watermelon and cantaloupe and honeydew. we're talking every type of melon hyper seasonal bile diverse melons. there's apparently there's a huge push for melons coming across christmas melons canary melons. horn melons. i don't know there was a melon verse. , i guess there's a whole melon verse and also doing cool things with melons. they're saying that cooking with melon, caramelizing the melons, preserving melon rinds. we're going to see all these melon pickles on char trutery boards. this is all what kind of boards. , char trucheach, boo. what boards, jeffie charcuterie boards. , you know what i everyone. you're welcome.""]"
48,47,4,47_gmos_vegetable_fruit_food,"['gmos', 'vegetable', 'fruit', 'food', 'tomato', 'consumer', 'genetic', 'nutritious', 'reaction', 'gm']","[""that had been irradiated, and therefore had a much longer shelf life. that goes way back. that's got to be 20 years now. i'm old enough to remember it, but i can't tell you when it was extremely clear. i can't either. i can't either. but i do remember at the time that it was even worse than gmos, the reaction was even worse than gmos because it was the word. it was the word. it was the word that was just so wrong. so, i think to your point of transparency and"", ""played in that. but that makes me think of another one of these issues that was also handled very, very badly, and that is the radiation. and all the benefits that a radiation can provide in so many categories, but how that did not go over with consumers at all. dan, i don't know if you recall. i forgot when it was renamed. at one point, they attempted to rename it, and i know in the us they were actively pushing a line of tomatoes"", ""each other and think with each other to come up with some small solutions. i was just going to emphasize that consumers are becoming open to that, david, your point about gm and genetic modification, that was something that was an absolute no-go, but our data on fruits and vegetables, especially in the us, is showcasing that consumers are open to this, if it's meaning that the fruit is more nutritious, or if it's tastier, for example, 49 of us fruit buyers would eat fruit""]"
49,48,3,48_increasingly_industry_climate_change,"['increasingly', 'industry', 'climate', 'change', 'trading', 'communication', 'communicate', 'market', 'action', 'situation']","[""to, you know, and how much of that will be honestly communicated, not only communicated, because that could set up some really interesting challenges for the industry somewhere down the line. you know, the next kind of stringflation potentially. i think that's also the challenge in terms of communication."", ""for example, being out of the european union now trading situations for many markets have changed substantially. and it's just not as easy or in as cheap to get hold of some of the ingredients that we wait to rely on. so things have begun to change over time, but at the moment, we're just substituting one source for another."", ""i think in terms of real action, i think it's quite hard to find it right now. but it's coming, it's surely coming because it's down to climate change. . but i think increasingly it's just down to the difficulties of trading. you know, with the situation in the ukraine and with situation with the uk,""]"
50,49,3,49_smoke_grill_smoker_flame,"['smoke', 'grill', 'smoker', 'flame', 'smoky', 'smokey', 'camping', 'pellet', 'cook', 'brisket']","[""just keeping that temperature where you want. that's the hardest part. that's why people get afraid of it. the pellet grill or pellet smoker takes that out of the equation. you set it and it's to go. . and it's fun. i mean, listen, i told you when i got mine, i was addicted to it. and you now have yours and you're , this is pretty awesome. , , absolutely. i got that right. which one do you have the rectify the rectic dual fire? it's a it doesn't so on mine. i don't i can't slide the thing across doesn't have that option. but i have one larger side that's more or less for smoking. you know, it can get pretty high than the other side. it's a smaller thing, but it has a larger burn. so when that burn pot's going, it's kind of you're grilling right over. , pop of direct flame. i mean, it gets 7800 degrees. i burn the state the other day by accident. i wasn't paying attention. and i was , my god, this is literally on fire. , you can get that thing between 500 and you know, at least over 500 degrees, 45500. it'll see you. you know, that can we talk about that for a second? sure. people , you know, , you need 1100 degrees to see your steak. no, that's insane. now, it's a huge that's how you burn a stick. if you want a nice crust, a serious be able to get the my art reaction to really penetrate and get that crust that we all love on a steak."", ""tailgating. absolutely. so , it's it's really, really cool. but i think you're right. you're seeing how much is becoming accessible to people and people are realizing that. you know, cooking with smoking, cooking with smoke is a fantastic way to cook. all right. one more quick question about this pickroast thing. and then i'll move on. i'm sorry. can you put it in the back of the truck and be smoking your brisket while you're driving to the game 100 my god. 100 absolutely. and the cool thing is to it also as a. it has a little slide where you push the slide aside. you can get direct flames. you want to grill something on it. , so you can steer the heck out of stuff. so you can reverse here on that thing really well too. , that's. , wow. it's pretty cool. man, you haven't seen it. i got to show it to you. it's pretty cool or pellet smoke. , i think you're right though with people. i mean pellet smoking you'll when you work over a go smoke or the hard part is maintaining the temperature."", ""that's all you got to do came out delicious little smoky olive oil cake. it was smokey. it was sweet. served it with a sweet and creme fresh, a little maple leaf creme fresh. i think you're right. you're going to see a lot more of that sort of stuff happening and coming out. you know, our friends are at pitboss sent me a battery powered pellet grill, which is kind of interesting. it has a big battery that we can charge in the last or 15 hours. i used to do the day and smoked when i smoked another day i smoked some, , i smoked some bonus country pork ribs on there. and they were delicious. and it works fantastic. and the battery lasts 15, 18 hours. it's crazy. and when you get one of those, that sounds awesome. so it's battery packs. you could just throw in the back of the car. and camping trip. you're smoking gentle camping trip. , because it is heavy. it's 50 pounds, 40 pounds. so you can't backpack with it. so it'd be more a parking camp camping site. right. right off the road or whatever. right. or tailgating is fantastic with it or.""]"
